n,hr_com_size,lr_com_size,lr_prop_per_com,degree_dist,deg_dist_param,com_dist_param,max_vaccine_threshold,vacc_strategy,seed,end,peak,peak_hr,peak_lr,dead,dead_hr,dead_lr,rec,rec_hr,rec_lr,vacc,vacc_hr,vacc_lr,imu,imu_hr,imu_lr,never_v,never_v_hr,never_v_lr
750,0.05,0.2,0.05,power_law,2.0,20,0.5,0,0,152,0.4066666666666667,0.30933333333333335,0.09733333333333333,0.06933333333333333,0.06533333333333333,0.004,0.8533333333333334,0.6146666666666667,0.23866666666666667,0.0,0.0,0.0,0.8533333333333334,0.6146666666666667,0.23866666666666667,0.07733333333333334,0.07066666666666667,0.006666666666666667
750,0.05,0.2,0.05,power_law,2.0,20,0.5,0,1,137,0.41733333333333333,0.3373333333333333,0.08266666666666667,0.052,0.050666666666666665,0.0013333333333333333,0.8826666666666667,0.6466666666666666,0.236,0.0,0.0,0.0,0.8826666666666667,0.6466666666666666,0.236,0.06533333333333333,0.058666666666666666,0.006666666666666667
750,0.05,0.2,0.05,power_law,2.0,20,0.5,0,2,140,0.38266666666666665,0.32666666666666666,0.108,0.064,0.06133333333333333,0.0026666666666666666,0.8693333333333333,0.632,0.23733333333333334,0.0,0.0,0.0,0.8693333333333333,0.632,0.23733333333333334,0.06666666666666667,0.06,0.006666666666666667
750,0.05,0.2,0.05,power_law,2.0,20,0.5,1,0,168,0.16533333333333333,0.12666666666666668,0.04133333333333333,0.034666666666666665,0.03333333333333333,0.0013333333333333333,0.4066666666666667,0.268,0.13866666666666666,0.42533333333333334,0.3426666666666667,0.08266666666666667,0.8320000000000001,0.6106666666666667,0.22133333333333333,0.13333333333333333,0.10666666666666667,0.02666666666666667
750,0.05,0.2,0.05,power_law,2.0,20,0.5,1,1,147,0.21866666666666668,0.17333333333333334,0.052,0.034666666666666665,0.034666666666666665,0.0,0.516,0.37466666666666665,0.14133333333333334,0.3426666666666667,0.25733333333333336,0.08533333333333333,0.8586666666666667,0.632,0.22666666666666668,0.10666666666666667,0.08933333333333333,0.017333333333333333
750,0.05,0.2,0.05,power_law,2.0,20,0.5,1,2,150,0.2946666666666667,0.22266666666666668,0.088,0.042666666666666665,0.04133333333333333,0.0013333333333333333,0.5666666666666667,0.3933333333333333,0.17333333333333334,0.30533333333333335,0.24666666666666667,0.058666666666666666,0.872,0.64,0.232,0.08533333333333333,0.072,0.013333333333333334
750,0.05,0.2,0.05,power_law,2.0,20,0.5,2,0,188,0.112,0.09466666666666666,0.021333333333333333,0.032,0.030666666666666665,0.0013333333333333333,0.3893333333333333,0.2866666666666667,0.10266666666666667,0.4226666666666667,0.32133333333333336,0.10133333333333333,0.812,0.6080000000000001,0.20400000000000001,0.156,0.112,0.044
750,0.05,0.2,0.05,power_law,2.0,20,0.5,2,1,157,0.20666666666666667,0.16666666666666666,0.048,0.025333333333333333,0.025333333333333333,0.0,0.5133333333333333,0.38533333333333336,0.128,0.344,0.24533333333333332,0.09866666666666667,0.8573333333333333,0.6306666666666667,0.22666666666666668,0.11733333333333333,0.1,0.017333333333333333
750,0.05,0.2,0.05,power_law,2.0,20,0.5,2,2,197,0.13866666666666666,0.11066666666666666,0.036,0.024,0.024,0.0,0.44133333333333336,0.3253333333333333,0.116,0.39466666666666667,0.29333333333333333,0.10133333333333333,0.8360000000000001,0.6186666666666667,0.21733333333333332,0.14,0.11066666666666666,0.029333333333333333
750,0.05,0.2,0.05,power_law,2.0,20,0.5,3,0,225,0.09466666666666666,0.068,0.030666666666666665,0.032,0.030666666666666665,0.0013333333333333333,0.396,0.25066666666666665,0.14533333333333334,0.43066666666666664,0.34933333333333333,0.08133333333333333,0.8266666666666667,0.6,0.22666666666666668,0.14133333333333334,0.12,0.021333333333333333
750,0.05,0.2,0.05,power_law,2.0,20,0.5,3,1,191,0.12933333333333333,0.09866666666666667,0.032,0.017333333333333333,0.017333333333333333,0.0,0.448,0.34,0.108,0.404,0.2906666666666667,0.11333333333333333,0.8520000000000001,0.6306666666666667,0.22133333333333333,0.13066666666666665,0.108,0.02266666666666667
750,0.05,0.2,0.05,power_law,2.0,20,0.5,3,2,139,0.25066666666666665,0.19066666666666668,0.064,0.03866666666666667,0.03866666666666667,0.0,0.5533333333333333,0.4,0.15333333333333332,0.308,0.22933333333333333,0.07866666666666666,0.8613333333333333,0.6293333333333333,0.23199999999999998,0.1,0.08533333333333333,0.014666666666666666
750,0.05,0.2,0.05,power_law,2.0,20,0.5,4,0,193,0.13466666666666666,0.08266666666666667,0.05733333333333333,0.025333333333333333,0.024,0.0013333333333333333,0.4186666666666667,0.25333333333333335,0.16533333333333333,0.39866666666666667,0.34,0.058666666666666666,0.8173333333333334,0.5933333333333334,0.224,0.15733333333333333,0.13333333333333333,0.024
750,0.05,0.2,0.05,power_law,2.0,20,0.5,4,1,131,0.2986666666666667,0.212,0.092,0.030666666666666665,0.029333333333333333,0.0013333333333333333,0.5946666666666667,0.4,0.19466666666666665,0.28,0.244,0.036,0.8746666666666667,0.644,0.23066666666666666,0.09466666666666666,0.08266666666666667,0.012
750,0.05,0.2,0.05,power_law,2.0,20,0.5,4,2,149,0.31333333333333335,0.208,0.10666666666666667,0.03866666666666667,0.037333333333333336,0.0013333333333333333,0.6146666666666667,0.404,0.21066666666666667,0.2653333333333333,0.24133333333333334,0.024,0.88,0.6453333333333333,0.23466666666666666,0.08133333333333333,0.07066666666666667,0.010666666666666666
750,0.05,0.2,0.05,power_law,2.0,20,0.5,5,0,126,0.30266666666666664,0.22533333333333333,0.092,0.036,0.034666666666666665,0.0013333333333333333,0.5626666666666666,0.388,0.17466666666666666,0.31733333333333336,0.25733333333333336,0.06,0.88,0.6453333333333333,0.23466666666666666,0.084,0.07066666666666667,0.013333333333333334
750,0.05,0.2,0.05,power_law,2.0,20,0.5,5,1,170,0.12666666666666668,0.09733333333333333,0.029333333333333333,0.02,0.02,0.0,0.42133333333333334,0.32266666666666666,0.09866666666666667,0.39866666666666667,0.28,0.11866666666666667,0.8200000000000001,0.6026666666666667,0.21733333333333332,0.16,0.13333333333333333,0.02666666666666667
750,0.05,0.2,0.05,power_law,2.0,20,0.5,5,2,150,0.176,0.13866666666666666,0.04,0.03866666666666667,0.03866666666666667,0.0,0.5093333333333333,0.37333333333333335,0.136,0.344,0.24933333333333332,0.09466666666666666,0.8533333333333333,0.6226666666666667,0.2306666666666667,0.108,0.092,0.016
750,0.05,0.2,0.05,power_law,2.0,20,0.5,6,0,195,0.168,0.128,0.04533333333333334,0.03333333333333333,0.032,0.0013333333333333333,0.37733333333333335,0.252,0.12533333333333332,0.448,0.34,0.108,0.8253333333333334,0.5920000000000001,0.23333333333333334,0.14133333333333334,0.12666666666666668,0.014666666666666666
750,0.05,0.2,0.05,power_law,2.0,20,0.5,6,1,157,0.22666666666666666,0.192,0.044,0.021333333333333333,0.021333333333333333,0.0,0.54,0.42533333333333334,0.11466666666666667,0.3333333333333333,0.216,0.11733333333333333,0.8733333333333333,0.6413333333333333,0.23199999999999998,0.10533333333333333,0.09333333333333334,0.012
750,0.05,0.2,0.05,power_law,2.0,20,0.5,6,2,138,0.22533333333333333,0.19066666666666668,0.03866666666666667,0.03866666666666667,0.03866666666666667,0.0,0.5106666666666667,0.39466666666666667,0.116,0.3506666666666667,0.24266666666666667,0.108,0.8613333333333334,0.6373333333333333,0.224,0.1,0.07733333333333334,0.02266666666666667
750,0.05,0.2,0.05,power_law,2.0,20,0.65,0,0,152,0.4066666666666667,0.30933333333333335,0.09733333333333333,0.06933333333333333,0.06533333333333333,0.004,0.8533333333333334,0.6146666666666667,0.23866666666666667,0.0,0.0,0.0,0.8533333333333334,0.6146666666666667,0.23866666666666667,0.07733333333333334,0.07066666666666667,0.006666666666666667
750,0.05,0.2,0.05,power_law,2.0,20,0.65,0,1,137,0.41733333333333333,0.3373333333333333,0.08266666666666667,0.052,0.050666666666666665,0.0013333333333333333,0.8826666666666667,0.6466666666666666,0.236,0.0,0.0,0.0,0.8826666666666667,0.6466666666666666,0.236,0.06533333333333333,0.058666666666666666,0.006666666666666667
750,0.05,0.2,0.05,power_law,2.0,20,0.65,0,2,140,0.38266666666666665,0.32666666666666666,0.108,0.064,0.06133333333333333,0.0026666666666666666,0.8693333333333333,0.632,0.23733333333333334,0.0,0.0,0.0,0.8693333333333333,0.632,0.23733333333333334,0.06666666666666667,0.06,0.006666666666666667
750,0.05,0.2,0.05,power_law,2.0,20,0.65,1,0,188,0.08933333333333333,0.06133333333333333,0.030666666666666665,0.025333333333333333,0.025333333333333333,0.0,0.3453333333333333,0.21466666666666667,0.13066666666666665,0.508,0.4066666666666667,0.10133333333333333,0.8533333333333333,0.6213333333333333,0.23199999999999998,0.12133333333333333,0.104,0.017333333333333333
750,0.05,0.2,0.05,power_law,2.0,20,0.65,1,1,129,0.25733333333333336,0.20133333333333334,0.058666666666666666,0.02666666666666667,0.02666666666666667,0.0,0.5546666666666666,0.3933333333333333,0.16133333333333333,0.3546666666666667,0.28,0.07466666666666667,0.9093333333333333,0.6733333333333333,0.236,0.064,0.056,0.008
750,0.05,0.2,0.05,power_law,2.0,20,0.65,1,2,140,0.224,0.18,0.04933333333333333,0.029333333333333333,0.028,0.0013333333333333333,0.536,0.38666666666666666,0.14933333333333335,0.37866666666666665,0.296,0.08266666666666667,0.9146666666666667,0.6826666666666666,0.232,0.056,0.042666666666666665,0.013333333333333334
750,0.05,0.2,0.05,power_law,2.0,20,0.65,2,0,137,0.22133333333333333,0.19066666666666668,0.06266666666666666,0.04533333333333334,0.044,0.0013333333333333333,0.5333333333333333,0.39066666666666666,0.14266666666666666,0.36133333333333334,0.268,0.09333333333333334,0.8946666666666667,0.6586666666666667,0.236,0.06,0.048,0.012
750,0.05,0.2,0.05,power_law,2.0,20,0.65,2,1,129,0.21866666666666668,0.17333333333333334,0.052,0.021333333333333333,0.021333333333333333,0.0,0.5053333333333333,0.37466666666666665,0.13066666666666665,0.388,0.284,0.104,0.8933333333333333,0.6586666666666666,0.23466666666666663,0.08533333333333333,0.076,0.009333333333333334
750,0.05,0.2,0.05,power_law,2.0,20,0.65,2,2,128,0.244,0.19333333333333333,0.06266666666666666,0.04,0.04,0.0,0.548,0.4053333333333333,0.14266666666666666,0.36133333333333334,0.26266666666666666,0.09866666666666667,0.9093333333333333,0.6679999999999999,0.24133333333333334,0.050666666666666665,0.04533333333333334,0.005333333333333333
750,0.05,0.2,0.05,power_law,2.0,20,0.65,3,0,195,0.12266666666666666,0.072,0.06666666666666667,0.024,0.02266666666666667,0.0013333333333333333,0.29733333333333334,0.17066666666666666,0.12666666666666668,0.5626666666666666,0.4533333333333333,0.10933333333333334,0.86,0.624,0.23600000000000002,0.116,0.104,0.012
750,0.05,0.2,0.05,power_law,2.0,20,0.65,3,1,140,0.172,0.14666666666666667,0.04133333333333333,0.02266666666666667,0.02266666666666667,0.0,0.444,0.3293333333333333,0.11466666666666667,0.432,0.31466666666666665,0.11733333333333333,0.876,0.6439999999999999,0.23199999999999998,0.10133333333333333,0.08933333333333333,0.012
750,0.05,0.2,0.05,power_law,2.0,20,0.65,3,2,128,0.2733333333333333,0.22266666666666668,0.056,0.029333333333333333,0.029333333333333333,0.0,0.5386666666666666,0.3933333333333333,0.14533333333333334,0.3506666666666667,0.25866666666666666,0.092,0.8893333333333333,0.6519999999999999,0.23733333333333334,0.08133333333333333,0.072,0.009333333333333334
750,0.05,0.2,0.05,power_law,2.0,20,0.65,4,0,195,0.15466666666666667,0.08933333333333333,0.06933333333333333,0.016,0.014666666666666666,0.0013333333333333333,0.348,0.20533333333333334,0.14266666666666666,0.552,0.4573333333333333,0.09466666666666666,0.9,0.6626666666666666,0.23733333333333334,0.084,0.07333333333333333,0.010666666666666666
750,0.05,0.2,0.05,power_law,2.0,20,0.65,4,1,146,0.26666666666666666,0.18266666666666667,0.09066666666666667,0.025333333333333333,0.024,0.0013333333333333333,0.5426666666666666,0.348,0.19466666666666665,0.3586666666666667,0.31733333333333336,0.04133333333333333,0.9013333333333333,0.6653333333333333,0.236,0.07333333333333333,0.06666666666666667,0.006666666666666667
750,0.05,0.2,0.05,power_law,2.0,20,0.65,4,2,124,0.352,0.24533333333333332,0.10666666666666667,0.036,0.034666666666666665,0.0013333333333333333,0.6333333333333333,0.4186666666666667,0.21466666666666667,0.27466666666666667,0.252,0.02266666666666667,0.9079999999999999,0.6706666666666667,0.23733333333333334,0.056,0.048,0.008
750,0.05,0.2,0.05,power_law,2.0,20,0.65,5,0,199,0.08933333333333333,0.06266666666666666,0.032,0.012,0.010666666666666666,0.0013333333333333333,0.31066666666666665,0.19733333333333333,0.11333333333333333,0.576,0.45466666666666666,0.12133333333333333,0.8866666666666666,0.652,0.23466666666666666,0.10133333333333333,0.088,0.013333333333333334
750,0.05,0.2,0.05,power_law,2.0,20,0.65,5,1,186,0.1,0.08,0.02266666666666667,0.016,0.016,0.0,0.3506666666666667,0.2693333333333333,0.08133333333333333,0.5266666666666666,0.37066666666666664,0.156,0.8773333333333333,0.6399999999999999,0.23733333333333334,0.10666666666666667,0.1,0.006666666666666667
750,0.05,0.2,0.05,power_law,2.0,20,0.65,5,2,135,0.23066666666666666,0.19066666666666668,0.056,0.032,0.032,0.0,0.492,0.36133333333333334,0.13066666666666665,0.404,0.2986666666666667,0.10533333333333333,0.896,0.66,0.236,0.072,0.06133333333333333,0.010666666666666666
750,0.05,0.2,0.05,power_law,2.0,20,0.65,6,0,225,0.06533333333333333,0.04533333333333334,0.021333333333333333,0.02666666666666667,0.025333333333333333,0.0013333333333333333,0.2826666666666667,0.20533333333333334,0.07733333333333334,0.5626666666666666,0.41333333333333333,0.14933333333333335,0.8453333333333333,0.6186666666666667,0.22666666666666668,0.128,0.10666666666666667,0.021333333333333333
750,0.05,0.2,0.05,power_law,2.0,20,0.65,6,1,131,0.19333333333333333,0.172,0.02266666666666667,0.02666666666666667,0.02666666666666667,0.0,0.496,0.4186666666666667,0.07733333333333334,0.4013333333333333,0.252,0.14933333333333335,0.8973333333333333,0.6706666666666667,0.22666666666666668,0.076,0.058666666666666666,0.017333333333333333
750,0.05,0.2,0.05,power_law,2.0,20,0.65,6,2,123,0.24133333333333334,0.21866666666666668,0.028,0.04,0.04,0.0,0.5173333333333333,0.432,0.08533333333333333,0.36933333333333335,0.23066666666666666,0.13866666666666666,0.8866666666666667,0.6626666666666666,0.22399999999999998,0.07333333333333333,0.050666666666666665,0.02266666666666667
750,0.05,0.2,0.05,power_law,2.0,20,0.8,0,0,152,0.4066666666666667,0.30933333333333335,0.09733333333333333,0.06933333333333333,0.06533333333333333,0.004,0.8533333333333334,0.6146666666666667,0.23866666666666667,0.0,0.0,0.0,0.8533333333333334,0.6146666666666667,0.23866666666666667,0.07733333333333334,0.07066666666666667,0.006666666666666667
750,0.05,0.2,0.05,power_law,2.0,20,0.8,0,1,137,0.41733333333333333,0.3373333333333333,0.08266666666666667,0.052,0.050666666666666665,0.0013333333333333333,0.8826666666666667,0.6466666666666666,0.236,0.0,0.0,0.0,0.8826666666666667,0.6466666666666666,0.236,0.06533333333333333,0.058666666666666666,0.006666666666666667
750,0.05,0.2,0.05,power_law,2.0,20,0.8,0,2,140,0.38266666666666665,0.32666666666666666,0.108,0.064,0.06133333333333333,0.0026666666666666666,0.8693333333333333,0.632,0.23733333333333334,0.0,0.0,0.0,0.8693333333333333,0.632,0.23733333333333334,0.06666666666666667,0.06,0.006666666666666667
750,0.05,0.2,0.05,power_law,2.0,20,0.8,1,0,159,0.19333333333333333,0.132,0.06133333333333333,0.030666666666666665,0.029333333333333333,0.0013333333333333333,0.39866666666666667,0.25866666666666666,0.14,0.5346666666666666,0.43066666666666664,0.104,0.9333333333333333,0.6893333333333334,0.244,0.036,0.032,0.004
750,0.05,0.2,0.05,power_law,2.0,20,0.8,1,1,124,0.208,0.168,0.056,0.02666666666666667,0.025333333333333333,0.0013333333333333333,0.5106666666666667,0.356,0.15466666666666667,0.4226666666666667,0.33466666666666667,0.088,0.9333333333333333,0.6906666666666667,0.24266666666666667,0.04,0.04,0.0
750,0.05,0.2,0.05,power_law,2.0,20,0.8,1,2,108,0.29333333333333333,0.21333333333333335,0.092,0.04,0.03866666666666667,0.0013333333333333333,0.5466666666666666,0.37866666666666665,0.168,0.37333333333333335,0.30266666666666664,0.07066666666666667,0.9199999999999999,0.6813333333333333,0.2386666666666667,0.04,0.03333333333333333,0.006666666666666667
750,0.05,0.2,0.05,power_law,2.0,20,0.8,2,0,119,0.2733333333333333,0.22133333333333333,0.08,0.04133333333333333,0.03866666666666667,0.0026666666666666666,0.548,0.404,0.144,0.38,0.2813333333333333,0.09866666666666667,0.928,0.6853333333333333,0.24266666666666664,0.030666666666666665,0.02666666666666667,0.004
750,0.05,0.2,0.05,power_law,2.0,20,0.8,2,1,125,0.27466666666666667,0.22533333333333333,0.06533333333333333,0.029333333333333333,0.028,0.0013333333333333333,0.552,0.4146666666666667,0.13733333333333334,0.38133333333333336,0.28,0.10133333333333333,0.9333333333333333,0.6946666666666668,0.23866666666666667,0.037333333333333336,0.03333333333333333,0.004
